"TOA5","blynken","CR300","36594","CR300-CELL210.11.3.0","CPU:blynken.df84130b24f674375003011e71973b5b.dld","28117","WindUltra"
"TIMESTAMP","RECORD","WindU","WindV"
"TS","RN","",""
"","","Smp","Smp"
"2026-08-05 00:00:00",372,-0.933,0.703
"2026-08-05 01:00:00",373,1.702,-0.147
"2026-08-05 02:00:00",374,-1.067,0.218
"2026-08-05 03:00:00",375,-1.702,0.004
"2026-08-05 04:00:00",376,-1.535,-0.658
"2026-08-05 05:00:00",377,-0.286,-0.008
"2026-08-05 06:00:00",378,0.092,0.333
"2026-08-05 07:00:00",379,-0.222,-1.225
"2026-08-05 08:00:00",380,0.496,1.227
"2026-08-05 09:00:00",381,-1.177,0.032
"2026-08-05 10:00:00",382,-3.142,0.063
"2026-08-05 11:00:00",383,-2.158,0.5
"2026-08-05 12:00:00",384,-2.66,0.32
"2026-08-05 13:00:00",385,-3.34,1.764
"2026-08-05 14:00:00",386,-3.988,1.368
"2026-08-05 15:00:00",387,-3.735,0.508
"2026-08-05 16:00:00",388,-3.084,-0.809
"2026-08-05 17:00:00",389,-2.984,-0.432
"2026-08-05 18:00:00",390,-4.204,-0.765
"2026-08-05 19:00:00",391,-4.023,-1.286
"2026-08-05 20:00:00",392,-3.984,-1.065
"2026-08-05 21:00:00",393,-2.901,-0.491
"2026-08-05 22:00:00",394,-1.364,0.267
"2026-08-05 23:00:00",395,-0.088,-0.338
"2026-08-06 00:00:00",396,-0.31,0
"2026-08-06 01:00:00",397,-0.834,0.407
"2026-08-06 02:00:00",398,-0.676,0.173
"2026-08-06 03:00:00",399,0.139,0.988
"2026-08-06 04:00:00",400,-0.925,1.477
"2026-08-06 05:00:00",401,-1.549,0.544
"2026-08-06 06:00:00",402,-0.126,0.858
"2026-08-06 07:00:00",403,-1.021,-0.48
"2026-08-06 08:00:00",404,-0.042,-1.006
"2026-08-06 09:00:00",405,-0.899,-0.496
"2026-08-06 10:00:00",406,-0.62,-0.678
"2026-08-06 11:00:00",407,-1.977,-0.289
"2026-08-06 12:00:00",408,-2.881,0.772
"2026-08-06 13:00:00",409,-2.704,0.362
"2026-08-06 14:00:00",410,-5.711,0.224
"2026-08-06 15:00:00",411,-4.683,0.81
"2026-08-06 16:00:00",412,-5.233,0.125
"2026-08-06 17:00:00",413,-2.701,1.381
"2026-08-06 18:00:00",414,-3.285,-0.606
"2026-08-06 19:00:00",415,-2.722,-0.649
"2026-08-06 20:00:00",416,-3.424,1.378
"2026-08-06 21:00:00",417,-2.299,-0.622
"2026-08-06 22:00:00",418,0.019,0.7
"2026-08-06 23:00:00",419,0.11,-0.052
"2026-08-07 00:00:00",420,-0.483,0.468
"2026-08-07 01:00:00",421,-0.655,-1.039
"2026-08-07 02:00:00",422,0.808,-0.046
"2026-08-07 03:00:00",423,-1.071,-0.932
"2026-08-07 04:00:00",424,0.523,0.239
"2026-08-07 05:00:00",425,0.282,-0.194
"2026-08-07 06:00:00",426,-0.483,0.301
"2026-08-07 07:00:00",427,-1.25,0.818
"2026-08-07 08:00:00",428,-0.907,-0.757
"2026-08-07 09:00:00",429,-2.039,0.656
"2026-08-07 10:00:00",430,0.072,-0.139
"2026-08-07 11:00:00",431,0.309,-0.247
"2026-08-07 12:00:00",432,-2.349,-0.88
"2026-08-07 13:00:00",433,-2.856,0.294
"2026-08-07 14:00:00",434,-4.897,0.164
