		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
05/13/25	4:00 a	50.0	53.6	48.7	81	44.4	2.6	E	2.61	5.2	E	49.7	50.0	49.7	---	30.081	0.00	0.00	---	---	---	---	---	---	0.625	0.000	64.2	45	42.4	62.0	8.57	 .0755	0.000	995	1	72.7	60
05/13/25	5:00 a	48.4	49.0	47.8	85	44.1	3.5	ENE	3.48	6.1	NE	47.0	48.4	47.0	---	30.099	0.00	0.00	---	---	---	---	---	---	0.692	0.000	63.2	46	42.1	61.0	8.72	 .0757	0.000	1036	1	75.7	60
05/13/25	6:00 a	48.0	48.7	47.8	80	42.1	1.7	ENE	1.74	5.2	E	48.0	47.9	47.9	---	30.109	0.00	0.00	---	---	---	---	---	---	0.708	0.000	62.4	46	41.3	60.2	8.75	 .0758	0.000	1087	1	79.5	60
05/13/25	7:00 a	49.8	51.3	48.7	67	39.3	0.9	NE	0.87	4.3	W	49.8	49.3	49.3	---	30.130	0.00	0.00	---	---	---	---	---	---	0.633	0.000	61.7	47	41.3	59.5	8.92	 .0760	0.000	1070	1	78.2	60
05/13/25	8:00 a	48.8	51.8	47.5	80	42.9	1.7	E	1.74	5.2	NE	48.8	48.7	48.7	---	30.167	0.00	0.00	---	---	---	---	---	---	0.675	0.000	61.0	47	40.6	58.8	8.93	 .0762	0.000	988	1	72.2	60
05/13/25	9:00 a	51.3	54.8	47.3	60	37.9	2.6	SW	2.61	11.3	WSW	51.1	50.3	50.1	---	30.169	0.00	0.00	---	---	---	---	---	---	0.571	0.000	60.5	47	40.2	58.3	8.94	 .0763	0.000	915	1	66.9	60
05/13/25	10:00 a	53.1	54.2	52.6	62	40.4	4.3	SW	4.35	9.6	WSW	51.8	52.0	50.7	---	30.196	0.00	0.00	---	---	---	---	---	---	0.496	0.000	60.0	47	39.7	57.8	8.95	 .0764	0.000	885	1	64.7	60
05/13/25	11:00 a	54.8	55.9	53.2	56	39.4	4.3	SW	4.35	8.7	SW	53.9	53.3	52.4	---	30.236	0.00	0.00	---	---	---	---	---	---	0.425	0.000	60.7	48	40.9	58.6	9.12	 .0764	0.000	896	1	65.5	60
05/13/25	12:00 p	56.3	56.7	55.8	52	38.9	4.3	WSW	4.35	11.3	WSW	55.6	54.5	53.8	---	30.253	0.00	0.00	---	---	---	---	---	---	0.363	0.000	62.5	48	42.5	60.4	9.05	 .0761	0.000	1016	1	74.3	60
05/13/25	1:00 p	56.6	56.9	56.4	53	39.7	4.3	WSW	4.35	11.3	W	56.0	54.8	54.2	---	30.255	0.00	0.00	---	---	---	---	---	---	0.350	0.000	64.0	47	43.4	61.9	8.87	 .0759	0.000	1057	1	77.3	60
05/13/25	2:00 p	57.2	58.2	56.4	51	39.2	4.3	WSW	4.35	11.3	SW	56.6	55.3	54.7	---	30.266	0.00	0.00	---	---	---	---	---	---	0.325	0.000	65.2	47	44.5	63.2	8.85	 .0757	0.000	1015	1	74.2	60
05/13/25	3:00 p	58.0	59.5	57.2	50	39.5	2.6	W	2.61	7.0	WSW	58.0	56.0	56.0	---	30.267	0.00	0.00	---	---	---	---	---	---	0.292	0.000	66.1	47	45.3	64.2	8.83	 .0756	0.000	1005	1	73.5	60
